Cristiano Ronaldo,32,0,94,95500000,565000,26,89,53,62,91,82,89,61,53,82,62,91,89,92,91,66,89,61,53,82,62,91,89,92,91,66,92
L. Messi,30,1,93,105000000,565000,24,92,45,59,92,84,92,57,45,84,59,92,90,88,91,62,92,57,45,84,59,92,90,88,91,62,88
Neymar,25,2,92,123000000,280000,14,88,46,59,88,79,88,59,46,79,59,88,87,84,89,64,88,59,46,79,59,88,87,84,89,64,84
L. Suárez,30,3,92,97000000,510000,26,87,58,65,88,80,87,64,58,80,65,88,85,88,87,68,87,64,58,80,65,88,85,88,87,68,88
M. Neuer,31,4,92,61000000,230000,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
R. Lewandowski,28,5,91,92000000,355000,26,84,57,62,87,78,84,58,57,78,62,87,82,88,84,61,84,58,57,78,62,87,82,88,84,61,88
De Gea,26,6,90,64500000,215000,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
E. Hazard,26,7,90,90500000,295000,14,88,47,61,87,81,88,59,47,81,61,87,87,82,88,64,88,59,47,81,61,87,87,82,88,64,82
T. Kroos,27,4,90,79000000,340000,2,83,72,82,81,87,83,76,72,87,82,81,81,77,80,78,83,76,72,87,82,81,81,77,80,78,77
G. Higuaín,29,1,90,77000000,275000,26,81,46,52,84,71,81,51,46,71,52,84,79,87,82,55,81,51,46,71,52,84,79,87,82,55,87
Sergio Ramos,31,6,90,52000000,310000,1,70,87,83,70,74,70,84,87,74,83,70,71,72,69,81,70,84,87,74,83,70,71,72,69,81,72
K. De Bruyne,26,7,89,83000000,285000,22,86,57,70,85,84,86,66,57,84,70,85,85,81,85,71,86,66,57,84,70,85,85,81,85,71,81
T. Courtois,25,7,89,59000000,190000,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
A. Sánchez,28,8,89,67500000,265000,22,85,56,64,85,79,85,62,56,79,64,85,85,83,86,66,85,62,56,79,64,85,85,83,86,66,83
L. Modrić,31,9,89,57000000,340000,2,86,72,80,83,86,86,78,72,86,80,83,84,76,83,80,86,78,72,86,80,83,84,76,83,80,76
G. Bale,27,10,89,69500000,370000,24,86,67,71,87,81,86,72,67,81,71,87,87,87,87,74,86,72,67,81,71,87,87,87,87,74,87
S. Agüero,29,1,89,66500000,325000,26,85,44,54,87,75,85,52,44,75,54,87,84,86,86,57,85,52,44,75,54,87,84,86,86,57,86
G. Chiellini,32,11,89,38000000,225000,1,55,86,76,55,60,55,78,86,60,76,55,58,59,56,75,55,78,86,60,76,55,58,59,56,75,59
G. Buffon,39,11,89,4500000,110000,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
P. Dybala,23,1,88,79000000,215000,26,86,43,55,86,78,86,55,43,78,55,86,86,83,87,60,86,55,43,78,55,86,86,83,87,60,83
J. Oblak,24,12,88,57000000,82000,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
A. Griezmann,26,13,88,75000000,150000,14,84,48,57,85,76,84,56,48,76,57,85,84,85,86,60,84,56,48,76,57,85,84,85,86,60,85
Thiago,26,6,88,70500000,225000,2,86,66,76,83,85,86,72,66,85,76,83,83,77,83,75,86,72,66,85,76,83,83,77,83,75,77
P. Aubameyang,28,14,88,61000000,165000,26,82,52,59,84,74,82,62,52,74,59,84,83,85,84,65,82,62,52,74,59,84,83,85,84,65,85
L. Bonucci,30,11,88,44000000,210000,1,68,86,83,66,75,68,79,86,75,83,66,66,65,63,76,68,79,86,75,83,66,66,65,63,76,65
J. Boateng,28,4,88,48000000,215000,1,67,85,82,66,73,67,81,85,73,82,66,69,65,65,79,67,81,85,73,82,66,69,65,65,79,65
D. Godín,31,3,88,40000000,125000,1,63,86,80,62,69,63,79,86,69,80,62,63,64,61,76,63,79,86,69,80,62,63,64,61,76,64
M. Hummels,28,4,88,48000000,215000,1,71,85,83,69,77,71,80,85,77,83,69,70,69,68,78,71,80,85,77,83,69,70,69,68,78,69
M. Özil,28,4,88,60000000,265000,24,85,41,57,82,79,85,52,41,79,57,82,83,76,83,58,85,52,41,79,57,82,83,76,83,58,76
H. Lloris,30,13,88,38000000,165000,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Thiago Silva,32,2,88,34000000,175000,1,72,85,83,69,77,72,81,85,77,83,69,70,67,68,79,72,81,85,77,83,69,70,67,68,79,67
Z. Ibrahimović,35,15,88,27000000,240000,26,83,52,60,83,78,83,54,52,78,60,83,80,84,82,58,83,54,52,78,60,83,80,84,82,58,84
A. Robben,33,16,88,36000000,225000,24,86,47,59,86,78,86,58,47,78,59,86,85,82,87,63,86,58,47,78,59,86,85,82,87,63,82
N. Kanté,26,13,87,52500000,190000,4,78,81,84,76,81,78,82,81,81,84,76,78,72,76,83,78,82,81,81,84,76,78,72,76,83,72
M. Verratti,24,11,87,64500000,130000,2,82,77,84,77,85,82,79,77,85,84,77,80,69,78,80,82,79,77,85,84,77,80,69,78,80,69
P. Pogba,24,13,87,66500000,195000,2,84,74,79,83,84,84,75,74,84,79,83,83,81,82,77,84,75,74,84,79,83,83,81,82,77,81
C. Eriksen,25,17,87,65000000,165000,12,85,53,68,82,83,85,64,53,83,68,82,84,77,83,69,85,64,53,83,68,82,84,77,83,69,77
A. Vidal,30,8,87,37500000,160000,4,81,84,85,81,83,81,83,84,83,85,81,80,81,80,83,81,83,84,83,85,81,80,81,80,83,81
